Date,Order_ID,Product_ID,Dest. Warehouse, Source Factory,Shipping Time (Expected),Shipping Time (Actual),Delay Risk?,Total No. of Pieces,No. of pieces sold,No. of Pieces Returned,Avg. Batch Rating
2023-04-01,O00115,P012,W014,F005,3,3,No,591,404,42,4.4
2023-04-01,O00116,P016,W002,F001,6,7,No,1728,1140,117,4.9
2023-04-01,O00117,P006,W003,F001,4,5,No,1730,1135,113,4.9
2023-04-01,O00118,P019,W008,F002,4,5,Yes,1507,1059,100,4.6
2023-04-01,O00119,P017,W011,F001,3,2,No,1202,1006,35,4.0
2023-04-01,O00120,P004,W006,F003,3,3,No,1182,949,43,4.0
2023-04-01,O00121,P006,W015,F001,5,6,No,551,426,28,4.7
2023-04-01,O00122,P013,W005,F002,4,5,Yes,1521,1172,82,3.7
2023-04-01,O00123,P001,W002,F003,6,7,Yes,1036,741,59,4.7
2023-04-01,O00124,P001,W014,F003,5,6,Yes,986,855,25,4.4
2023-04-01,O00125,P008,W002,F001,6,6,No,1762,1294,102,3.8
2023-04-01,O00126,P001,W008,F003,4,2,No,1968,1442,116,4.6
2023-04-01,O00127,P002,W001,F003,3,4,Yes,1541,1016,100,4.6
2023-04-01,O00128,P001,W020,F003,4,4,No,1398,1046,56,3.8
2023-04-01,O00129,P008,W016,F001,6,6,No,1757,1267,76,4.1
2023-04-01,O00130,P016,W012,F001,3,4,Yes,646,430,53,4.1
2023-04-01,O00131,P017,W016,F001,6,7,Yes,1857,1623,52,3.8
2023-04-01,O00132,P012,W004,F005,4,4,No,640,495,29,3.7
2023-04-01,O00133,P001,W004,F003,6,6,No,1144,827,52,4.5
2023-04-01,O00134,P007,W002,F005,5,6,Yes,570,355,48,4.9
2023-04-01,O00135,P015,W018,F005,4,5,No,692,417,54,4.3
2023-04-01,O00136,P014,W003,F002,3,4,Yes,915,313,132,4.6
2023-04-01,O00137,P006,W016,F001,6,8,Yes,1616,1235,69,4.7
2023-04-01,O00138,P006,W014,F001,3,4,Yes,1217,854,72,3.5
2023-04-01,O00139,P012,W001,F005,3,4,Yes,1441,976,79,3.6
2023-04-01,O00140,P005,W001,F005,3,2,No,1033,718,70,4.8
2023-04-01,O00141,P008,W017,F001,5,3,No,615,448,31,4.7
2023-04-01,O00142,P017,W017,F001,5,7,No,1234,920,61,3.6
2023-04-01,O00143,P021,W010,F001,4,2,No,1105,855,46,4.2
2023-04-01,O00144,P013,W006,F002,5,6,No,1742,1448,50,4.5
2023-04-01,O00145,P004,W005,F003,3,3,No,1460,1130,52,3.7
2023-04-01,O00146,P004,W009,F003,4,5,Yes,1971,1405,129,4.6
2023-04-01,O00147,P009,W003,F002,3,4,No,1306,960,59,4.6
2023-04-01,O00148,P016,W017,F001,5,4,No,1070,678,93,4.6
2023-04-01,O00149,P007,W018,F005,4,4,No,900,586,60,4.7
2023-04-01,O00150,P012,W018,F005,4,4,No,989,707,46,4.2
2023-04-01,O00151,P001,W019,F003,4,3,No,1166,879,52,3.9
2023-04-01,O00152,P016,W019,F001,4,5,Yes,1454,1122,74,4.3
2023-04-01,O00153,P011,W018,F001,3,3,No,1413,1026,75,4.9
2023-04-01,O00154,P006,W019,F001,4,4,No,883,626,54,4.6
2023-04-01,O00155,P003,W010,F005,4,3,No,560,372,31,4.5
2023-04-01,O00156,P008,W014,F001,3,2,No,1422,1022,86,4.7
2023-04-01,O00157,P012,W003,F005,5,7,Yes,887,614,62,4.6
2023-04-01,O00158,P018,W005,F003,3,1,No,660,453,36,3.6
2023-04-01,O00159,P006,W011,F001,3,4,Yes,904,703,47,4.7
2023-04-01,O00160,P003,W001,F005,3,5,Yes,1740,1356,92,5.0
2023-04-01,O00161,P006,W008,F001,3,4,Yes,729,451,61,5.0
2023-04-01,O00162,P019,W011,F002,6,6,No,526,420,23,4.7
2023-04-01,O00163,P003,W011,F005,5,5,No,957,575,79,4.0
2023-04-01,O00164,P005,W017,F005,6,4,No,1280,801,89,4.7
2023-04-01,O00165,P014,W007,F002,4,3,No,1007,333,102,4.6
2023-04-01,O00166,P012,W012,F005,3,3,No,613,454,25,4.3
2023-04-01,O00167,P008,W005,F001,4,5,Yes,1014,735,58,5.0
2023-04-01,O00168,P013,W009,F002,4,4,No,1282,1085,32,4.4
2023-04-01,O00169,P008,W013,F001,4,6,Yes,1571,1130,81,4.3
2023-04-01,O00170,P014,W015,F002,6,8,Yes,1400,558,194,4.6
2023-04-01,O00171,P001,W013,F003,4,4,No,1937,1376,122,4.5
2023-04-01,O00172,P010,W016,F005,5,4,No,1387,538,169,4.5
2023-04-01,O00173,P006,W010,F001,4,3,No,1356,989,60,4.5
2023-04-01,O00174,P013,W015,F002,6,7,Yes,1092,803,62,4.8
2023-04-01,O00175,P017,W019,F002,6,7,No,1553,1105,74,4.2
2023-04-01,O00176,P019,W014,F002,4,6,Yes,1641,1209,105,4.8
2023-04-01,O00177,P006,W020,F001,3,3,No,1304,999,48,4.6
2023-04-01,O00178,P010,W011,F005,5,3,No,1375,372,153,4.1
2023-04-01,O00179,P013,W003,F002,3,4,No,1825,1611,46,4.4
2023-04-01,O00180,P007,W012,F005,3,4,No,1475,1139,75,3.9
2023-04-01,O00181,P008,W018,F001,3,2,No,1596,1275,76,4.4
2023-04-01,O00182,P015,W012,F005,3,5,Yes,1130,817,50,4.0
2023-04-01,O00183,P017,W007,F001,3,5,Yes,1844,1537,62,4.7
2023-04-01,O00184,P014,W002,F002,3,3,No,1594,386,237,3.9
2023-04-01,O00185,P024,W011,F001,3,3,No,1805,1290,104,5.0
2023-04-01,O00186,P018,W012,F003,5,4,No,1083,745,77,4.0
2023-04-01,O00187,P017,W002,F001,6,5,No,1803,1341,107,4.0
2023-04-01,O00188,P004,W010,F003,4,6,No,1536,1168,88,4.7
2023-04-01,O00189,P003,W005,F005,6,5,No,665,513,24,4.2
2023-04-01,O00190,P002,W014,F003,5,6,No,510,363,30,4.3
2023-04-01,O00191,P010,W019,F005,4,2,No,737,193,91,4.8
2023-04-01,O00192,P002,W005,F003,3,3,No,1588,1098,113,3.6
2023-04-01,O00193,P016,W014,F001,3,2,No,683,459,41,4.3
2023-04-01,O00194,P006,W013,F001,4,5,Yes,1471,1111,73,4.8
2023-04-01,O00195,P001,W017,F001,5,7,No,1748,1491,51,4.2
2023-04-01,O00196,P005,W018,F005,4,4,No,700,488,49,4.0
2023-04-01,O00197,P016,W009,F001,3,2,No,726,551,38,4.1
2023-04-01,O00198,P005,W012,F005,3,2,No,723,452,66,3.8
2023-04-01,O00199,P010,W008,F005,4,4,No,1478,513,228,4.1
2023-04-01,O00200,P022,W009,F003,4,5,No,1595,1075,107,3.8
2023-04-01,O00201,P011,W001,F001,4,4,No,1657,1433,54,5.0
2023-04-01,O00202,P005,W009,F005,6,7,Yes,571,384,45,4.8
2023-04-01,O00203,P012,W002,F005,5,7,Yes,1599,1137,77,4.5
2023-04-01,O00204,P002,W010,F003,4,5,No,786,505,49,3.5
2023-04-01,O00205,P017,W013,F001,4,3,No,1538,1261,51,3.8
2023-04-01,O00206,P011,W002,F001,6,6,No,1831,1449,60,4.2
2023-04-01,O00207,P019,W015,F002,6,6,No,608,479,31,4.7
2023-04-01,O00208,P006,W009,F001,3,3,No,1280,887,88,3.7
2023-04-01,O00209,P007,W011,F005,5,6,Yes,1525,1146,92,4.1
2023-04-01,O00210,P012,W005,F005,6,5,No,737,564,26,3.8
2023-04-01,O00211,P001,W017,F003,4,5,Yes,1748,1402,69,4.3
2023-04-01,O00212,P003,W019,F005,4,3,No,970,703,62,4.9
2023-04-01,O00213,P015,W020,F005,3,4,No,1524,1157,67,4.2
2023-04-01,O00214,P011,W012,F001,3,3,No,1873,1653,53,4.5
2023-04-01,O00215,P007,W004,F005,4,4,No,606,460,32,3.7
2023-04-01,O00216,P008,W006,F001,3,3,No,772,495,65,4.8
2023-04-01,O00217,P011,W006,F001,3,3,No,1289,996,65,4.1
2023-04-01,O00218,P012,W006,F005,4,4,No,1756,1152,108,4.0
2023-04-01,O00219,P017,W015,F001,5,6,Yes,1986,1406,124,3.8
2023-04-01,O00220,P008,W015,F001,5,7,Yes,1551,1193,80,3.9
2023-04-01,O00221,P011,W003,F001,4,4,No,957,757,40,4.0
2023-04-01,O00222,P005,W014,F005,3,3,No,1199,956,44,3.6
2023-04-01,O00223,P007,W015,F005,5,5,No,1295,844,105,4.9
2023-04-01,O00224,P007,W009,F005,6,6,No,1467,1155,52,3.7
2023-04-01,O00225,P004,W012,F003,5,5,No,1266,927,55,5.0
2023-04-01,O00226,P018,W013,F003,4,3,No,1036,810,34,3.6
2023-04-01,O00227,P005,W003,F005,5,6,Yes,1596,1197,95,4.7
2023-04-01,O00228,P003,W006,F005,4,4,No,963,728,55,3.9
2023-04-01,O00229,P003,W012,F005,3,3,No,661,509,34,3.9
2023-04-01,O00230,P006,W012,F001,3,3,No,682,423,57,4.9
2023-04-01,O00231,P013,W017,F002,6,7,No,1048,823,50,4.3
2023-04-01,O00232,P004,W003,F003,4,6,No,1193,997,43,4.4
2023-04-01,O00233,P013,W008,F002,4,5,Yes,1883,1362,96,4.6
2023-04-01,O00234,P011,W017,F001,5,6,Yes,990,877,24,4.8
2023-04-01,O00235,P018,W004,F003,6,8,No,1765,1256,89,4.7
2023-04-01,O00236,P005,W015,F005,5,5,No,1760,1082,107,4.4
2023-04-01,O00237,P004,W001,F003,3,4,Yes,1484,1304,38,4.8
2023-04-01,O00238,P007,W008,F005,4,3,No,607,376,47,3.9
2023-04-01,O00239,P013,W019,F002,6,8,Yes,1792,1547,60,4.1
2023-04-01,O00240,P005,W006,F005,4,2,No,1173,715,100,4.2
2023-04-01,O00241,P016,W012,F005,3,3,No,1051,838,34,4.5
2023-04-01,O00242,P012,W017,F005,6,4,No,904,677,54,4.7
2023-04-01,O00243,P005,W020,F005,3,3,No,1201,914,49,3.6
2023-04-01,O00244,P016,W004,F001,6,8,Yes,1348,905,74,3.7
2023-04-01,O00245,P016,W018,F001,3,3,No,1154,882,53,4.0
2023-04-01,O00246,P002,W006,F003,3,3,No,1174,708,73,4.1
2023-04-01,O00247,P015,W006,F005,4,4,No,525,413,19,4.5
2023-04-01,O00248,P017,W012,F001,3,4,Yes,1653,1478,27,4.1
2023-04-01,O00249,P009,W006,F002,5,6,No,1386,973,90,4.5
2023-04-01,O00250,P010,W002,F005,5,6,Yes,621,227,73,3.9
2023-04-01,O00251,P018,W017,F003,4,5,Yes,1588,1093,100,3.9
2023-04-01,O00252,P010,W017,F005,6,5,No,962,268,114,4.7
2023-04-01,O00253,P014,W009,F002,4,4,No,1713,396,265,4.6
2023-04-01,O00254,P004,W014,F003,5,6,Yes,1670,1246,104,3.8
2023-04-01,O00255,P012,W007,F005,3,5,Yes,1082,851,49,4.1
2023-04-01,O00256,P002,W015,F003,3,4,Yes,1753,1238,114,4.7
2023-04-01,O00257,P015,W009,F005,6,4,No,672,491,44,3.9
2023-04-01,O00258,P015,W008,F005,4,6,Yes,1119,756,85,4.2
2023-04-01,O00259,P017,W010,F001,4,6,No,1507,1137,88,4.3
2023-04-01,O00260,P008,W003,F001,4,6,Yes,1629,979,123,4.6
2023-04-01,O00261,P018,W016,F003,5,6,Yes,915,671,46,4.7
2023-04-01,O00262,P008,W009,F001,3,4,Yes,1278,882,66,4.2
2023-04-01,O00263,P001,W003,F003,4,3,No,1012,770,37,4.8
2023-04-01,O00264,P007,W019,F005,4,5,Yes,1592,1053,89,3.8
2023-04-01,O00265,P007,W016,F005,5,6,Yes,867,596,59,4.0
2023-04-01,O00266,P014,W005,F002,4,4,No,1138,231,190,3.7
2023-04-01,O00267,P015,W010,F005,4,5,Yes,598,386,38,3.9
2023-04-01,O00268,P006,W017,F001,5,7,Yes,1393,1077,48,3.6
2023-04-01,O00269,P001,W011,F003,3,4,Yes,1140,800,83,4.7
2023-04-01,O00270,P030,W015,F005,5,3,No,990,654,70,4.1
2023-04-01,O00271,P002,W004,F003,6,4,No,1498,900,121,4.3
2023-04-02,O00272,P011,W016,F001,6,6,No,1475,1167,60,4.1
2023-04-02,O00273,P010,W013,F005,6,6,No,1508,347,244,4.4
2023-04-02,O00274,P009,W015,F002,6,5,No,1241,960,46,4.5
2023-04-02,O00275,P002,W009,F003,4,4,No,1412,1022,66,3.6
2023-04-02,O00276,P002,W002,F001,6,7,Yes,1701,1317,88,4.3
2023-04-02,O00277,P014,W019,F002,6,5,No,876,244,103,3.7
2023-04-02,O00278,P016,W008,F001,3,4,Yes,1710,1153,101,4.2
2023-04-02,O00279,P013,W004,F002,3,3,No,1441,1031,87,4.7
2023-04-02,O00280,P012,W006,F005,4,6,No,1613,1057,132,5.0
2023-04-02,O00281,P004,W017,F003,4,2,No,1289,1088,38,4.3
2023-04-02,O00282,P015,W008,F005,4,2,No,1106,883,53,3.7
2023-04-02,O00283,P017,W010,F001,4,6,No,1761,1240,120,3.9
2023-04-02,O00284,P006,W009,F001,3,4,Yes,1640,1128,79,4.4
2023-04-02,O00285,P007,W018,F005,4,4,No,921,592,50,4.7
2023-04-02,O00286,P010,W019,F005,4,3,No,1079,258,164,3.6
2023-04-02,O00287,P011,W006,F001,3,4,Yes,1282,1059,42,4.9
2023-04-02,O00288,P017,W007,F001,3,3,No,1123,835,59,3.8
2023-04-02,O00289,P017,W016,F001,6,7,Yes,1315,1137,41,4.3
2023-04-02,O00290,P012,W012,F005,3,3,No,1389,855,88,3.8
2023-04-02,O00291,P013,W009,F002,4,4,No,1247,933,59,4.8
2023-04-02,O00292,P016,W013,F001,4,4,No,1670,1297,63,4.2
2023-04-02,O00293,P009,W002,F002,3,3,No,1096,663,87,5.0
2023-04-02,O00294,P002,W008,F003,4,6,No,508,361,23,3.6
2023-04-02,O00295,P013,W008,F002,4,2,No,1012,839,42,4.8
2023-04-02,O00296,P001,W003,F003,4,6,Yes,1851,1462,89,4.6
2023-04-02,O00297,P005,W005,F005,6,4,No,1436,909,115,4.6
2023-04-02,O00298,P003,W004,F005,4,4,No,1548,972,118,3.6
2023-04-02,O00299,P002,W011,F003,3,3,No,1615,1176,87,4.1
2023-04-02,O00300,P020,W014,F001,3,1,No,967,692,68,3.6
2023-04-02,O00301,P016,W005,F001,4,5,Yes,1421,1022,75,3.9
2023-04-02,O00302,P007,W020,F005,3,4,Yes,647,411,48,4.2
2023-04-02,O00303,P017,W017,F001,5,4,No,1487,1062,78,4.7
2023-04-02,O00304,P012,W013,F005,6,6,No,534,355,44,4.6
2023-04-02,O00305,P002,W017,F003,4,5,Yes,732,531,30,3.8
2023-04-02,O00306,P005,W008,F005,4,4,No,575,429,30,4.7
2023-04-02,O00307,P015,W010,F005,4,3,No,1390,852,132,4.8
2023-04-02,O00308,P004,W001,F003,3,3,No,1026,803,42,4.3
2023-04-02,O00309,P013,W013,F002,6,6,No,1209,860,79,5.0
2023-04-02,O00310,P005,W012,F005,3,5,Yes,1339,845,118,5.0
2023-04-02,O00311,P013,W020,F002,6,6,No,964,743,49,4.6
2023-04-02,O00312,P016,W018,F001,3,3,No,1681,1324,62,4.5
2023-04-02,O00313,P001,W002,F003,6,7,No,1514,1227,64,3.5
2023-04-02,O00314,P015,W014,F005,3,1,No,1181,820,79,4.0
2023-04-02,O00315,P005,W019,F005,4,5,Yes,744,530,45,4.2
2023-04-02,O00316,P010,W014,F005,3,5,No,842,221,136,3.8
2023-04-02,O00317,P015,W015,F005,5,5,No,557,334,39,4.6
2023-04-02,O00318,P008,W012,F001,3,5,No,1598,1145,89,3.6
2023-04-02,O00319,P040,W007,F002,4,4,No,645,479,26,3.9
2023-04-02,O00320,P009,W020,F002,6,4,No,500,319,42,4.4
2023-04-02,O00321,P001,W006,F003,3,3,No,1244,949,68,4.4
2023-04-02,O00322,P008,W016,F001,6,7,No,1705,1334,65,3.8
2023-04-02,O00323,P019,W009,F002,4,4,No,844,600,47,4.4
2023-04-02,O00324,P011,W004,F001,6,7,Yes,947,696,55,4.4
2023-04-02,O00325,P018,W013,F003,4,5,No,1099,747,75,4.5
2023-04-02,O00326,P002,W006,F003,3,3,No,1660,1093,103,4.3
2023-04-02,O00327,P017,W015,F001,5,6,Yes,1992,1577,90,4.9
2023-04-02,O00328,P019,W006,F002,5,4,No,1437,1073,59,4.5
2023-04-02,O00329,P018,W019,F003,4,5,Yes,690,445,42,3.7
2023-04-02,O00330,P011,W011,F001,3,3,No,1275,998,66,3.6
2023-04-02,O00331,P015,W006,F005,4,4,No,698,462,40,5.0
2023-04-02,O00332,P005,W010,F005,4,4,No,1674,1133,129,3.7
2023-04-02,O00333,P013,W015,F002,6,6,No,1698,1516,29,4.5
2023-04-02,O00334,P016,W006,F001,3,4,Yes,1536,1053,90,3.7
2023-04-02,O00335,P002,W018,F003,5,5,No,1385,917,88,3.5
2023-04-02,O00336,P012,W001,F005,3,4,Yes,1393,891,93,4.6
2023-04-02,O00337,P003,W011,F005,5,4,No,1450,1091,77,4.5
2023-04-02,O00338,P003,W001,F005,3,5,Yes,966,731,54,3.6
2023-04-02,O00339,P010,W020,F005,3,3,No,1094,410,161,4.8
2023-04-02,O00340,P024,W011,F001,3,5,No,1445,1090,83,4.0
2023-04-02,O00341,P006,W015,F001,5,5,No,1185,864,52,4.0
2023-04-02,O00342,P002,W013,F003,4,2,No,1398,888,99,3.6
2023-04-02,O00343,P012,W019,F005,4,5,Yes,1065,780,69,4.0
2023-04-02,O00344,P018,W003,F003,4,6,Yes,1582,1203,59,4.5
2023-04-02,O00345,P007,W015,F005,5,5,No,1558,1206,54,4.6
2023-04-02,O00346,P007,W017,F005,6,6,No,963,741,37,4.8
2023-04-02,O00347,P011,W013,F001,4,5,Yes,1589,1239,69,4.7
2023-04-02,O00348,P008,W003,F001,4,6,Yes,723,568,30,4.6
2023-04-02,O00349,P013,W002,F002,3,3,No,1314,957,58,4.4
2023-04-02,O00350,P005,W003,F005,5,3,No,1217,809,75,4.8
2023-04-02,O00351,P003,W008,F005,4,3,No,746,487,63,3.9
2023-04-02,O00352,P006,W017,F001,5,5,No,1483,1179,75,4.9
2023-04-02,O00353,P008,W013,F001,4,4,No,1280,1017,48,4.0
2023-04-02,O00354,P001,W004,F003,6,4,No,1401,1110,47,4.1
2023-04-02,O00355,P016,W014,F001,3,2,No,513,408,16,4.5
2023-04-02,O00356,P006,W006,F001,3,3,No,1617,1104,117,3.8
2023-04-02,O00357,P013,W012,F002,5,5,No,1205,999,40,3.9
2023-04-02,O00358,P001,W013,F003,4,4,No,1029,911,26,4.0
2023-04-02,O00359,P001,W019,F003,4,2,No,1224,920,57,4.4
2023-04-02,O00360,P003,W014,F005,3,2,No,1208,933,56,4.3
2023-04-02,O00361,P007,W003,F005,5,4,No,1173,743,67,4.6
2023-04-02,O00362,P004,W002,F003,6,7,Yes,1860,1388,82,3.6
2023-04-02,O00363,P017,W003,F001,4,5,No,958,789,25,5.0
2023-04-02,O00364,P016,W012,F001,3,2,No,1301,794,78,4.1
2023-04-02,O00365,P002,W013,F004,5,6,Yes,1541,1063,110,4.8
2023-04-02,O00366,P017,W014,F001,3,1,No,1557,1359,45,4.2
